experiment_id,model,hardware,precision,framework,workload,flip_rate,num_flips,num_comparisons
llama-3.1-70b--b200--fp16--sglang,llama-3.1-70b,b200,fp16,sglang,code,0.0,0,164
llama-3.1-70b--b200--fp16--sglang,llama-3.1-70b,b200,fp16,sglang,long_context,4.0,4,100
llama-3.1-70b--b200--fp16--sglang,llama-3.1-70b,b200,fp16,sglang,math,5.6000000000000005,28,500
llama-3.1-70b--b200--fp16--sglang,llama-3.1-70b,b200,fp16,sglang,safety,3.4615384615384617,18,520
llama-3.1-70b--b200--fp16--tensorrt-llm,llama-3.1-70b,b200,fp16,tensorrt-llm,code,0.0,0,164
llama-3.1-70b--b200--fp16--tensorrt-llm,llama-3.1-70b,b200,fp16,tensorrt-llm,long_context,2.0,2,100
llama-3.1-70b--b200--fp16--tensorrt-llm,llama-3.1-70b,b200,fp16,tensorrt-llm,math,5.2,26,500
llama-3.1-70b--b200--fp16--tensorrt-llm,llama-3.1-70b,b200,fp16,tensorrt-llm,safety,4.230769230769231,22,520
llama-3.1-70b--b200--fp16--vllm,llama-3.1-70b,b200,fp16,vllm,code,0.0,0,164
llama-3.1-70b--b200--fp16--vllm,llama-3.1-70b,b200,fp16,vllm,long_context,0.0,0,100
llama-3.1-70b--b200--fp16--vllm,llama-3.1-70b,b200,fp16,vllm,math,0.4,2,500
llama-3.1-70b--b200--fp16--vllm,llama-3.1-70b,b200,fp16,vllm,safety,0.1923076923076923,1,520
llama-3.1-70b--b200--fp8--sglang,llama-3.1-70b,b200,fp8,sglang,code,0.0,0,164
llama-3.1-70b--b200--fp8--sglang,llama-3.1-70b,b200,fp8,sglang,long_context,4.0,4,100
llama-3.1-70b--b200--fp8--sglang,llama-3.1-70b,b200,fp8,sglang,math,10.6,53,500
llama-3.1-70b--b200--fp8--sglang,llama-3.1-70b,b200,fp8,sglang,safety,5.5769230769230775,29,520
llama-3.1-70b--b200--fp8--tensorrt-llm,llama-3.1-70b,b200,fp8,tensorrt-llm,code,0.0,0,164
llama-3.1-70b--b200--fp8--tensorrt-llm,llama-3.1-70b,b200,fp8,tensorrt-llm,long_context,2.0,2,100
llama-3.1-70b--b200--fp8--tensorrt-llm,llama-3.1-70b,b200,fp8,tensorrt-llm,math,5.2,26,500
llama-3.1-70b--b200--fp8--tensorrt-llm,llama-3.1-70b,b200,fp8,tensorrt-llm,safety,4.230769230769231,22,520
llama-3.1-70b--b200--fp8--vllm,llama-3.1-70b,b200,fp8,vllm,code,0.0,0,164
llama-3.1-70b--b200--fp8--vllm,llama-3.1-70b,b200,fp8,vllm,long_context,7.000000000000001,7,100
llama-3.1-70b--b200--fp8--vllm,llama-3.1-70b,b200,fp8,vllm,math,12.2,61,500
llama-3.1-70b--b200--fp8--vllm,llama-3.1-70b,b200,fp8,vllm,safety,5.769230769230769,30,520
llama-3.1-70b--h100--fp16--sglang,llama-3.1-70b,h100,fp16,sglang,code,0.0,0,164
llama-3.1-70b--h100--fp16--sglang,llama-3.1-70b,h100,fp16,sglang,long_context,3.0,3,100
llama-3.1-70b--h100--fp16--sglang,llama-3.1-70b,h100,fp16,sglang,math,5.800000000000001,29,500
llama-3.1-70b--h100--fp16--sglang,llama-3.1-70b,h100,fp16,sglang,safety,4.423076923076923,23,520
llama-3.1-70b--h100--fp8--sglang,llama-3.1-70b,h100,fp8,sglang,code,0.0,0,164
llama-3.1-70b--h100--fp8--sglang,llama-3.1-70b,h100,fp8,sglang,long_context,3.0,3,100
llama-3.1-70b--h100--fp8--sglang,llama-3.1-70b,h100,fp8,sglang,math,10.0,50,500
llama-3.1-70b--h100--fp8--sglang,llama-3.1-70b,h100,fp8,sglang,safety,4.423076923076923,23,520
llama-3.1-70b--h100--fp8--vllm,llama-3.1-70b,h100,fp8,vllm,code,0.0,0,164
llama-3.1-70b--h100--fp8--vllm,llama-3.1-70b,h100,fp8,vllm,long_context,6.0,6,100
llama-3.1-70b--h100--fp8--vllm,llama-3.1-70b,h100,fp8,vllm,math,8.799999999999999,44,500
llama-3.1-70b--h100--fp8--vllm,llama-3.1-70b,h100,fp8,vllm,safety,5.5769230769230775,29,520
llama-3.1-70b--h200--fp16--sglang,llama-3.1-70b,h200,fp16,sglang,code,0.0,0,164
llama-3.1-70b--h200--fp16--sglang,llama-3.1-70b,h200,fp16,sglang,long_context,1.0,1,100
llama-3.1-70b--h200--fp16--sglang,llama-3.1-70b,h200,fp16,sglang,math,0.0,0,500
llama-3.1-70b--h200--fp16--sglang,llama-3.1-70b,h200,fp16,sglang,safety,0.1923076923076923,1,520
llama-3.1-70b--h200--fp16--tensorrt-llm,llama-3.1-70b,h200,fp16,tensorrt-llm,code,0.0,0,164
llama-3.1-70b--h200--fp16--tensorrt-llm,llama-3.1-70b,h200,fp16,tensorrt-llm,long_context,2.0,2,100
llama-3.1-70b--h200--fp16--tensorrt-llm,llama-3.1-70b,h200,fp16,tensorrt-llm,math,4.4,22,500
llama-3.1-70b--h200--fp16--tensorrt-llm,llama-3.1-70b,h200,fp16,tensorrt-llm,safety,2.8846153846153846,15,520
llama-3.1-70b--h200--fp16--vllm,llama-3.1-70b,h200,fp16,vllm,code,0.0,0,164
llama-3.1-70b--h200--fp16--vllm,llama-3.1-70b,h200,fp16,vllm,long_context,1.0,1,100
llama-3.1-70b--h200--fp16--vllm,llama-3.1-70b,h200,fp16,vllm,math,0.8,4,500
llama-3.1-70b--h200--fp16--vllm,llama-3.1-70b,h200,fp16,vllm,safety,0.3846153846153846,2,520
llama-3.1-70b--h200--fp8--sglang,llama-3.1-70b,h200,fp8,sglang,code,0.0,0,164
llama-3.1-70b--h200--fp8--sglang,llama-3.1-70b,h200,fp8,sglang,long_context,4.0,4,100
llama-3.1-70b--h200--fp8--sglang,llama-3.1-70b,h200,fp8,sglang,math,10.0,50,500
llama-3.1-70b--h200--fp8--sglang,llama-3.1-70b,h200,fp8,sglang,safety,4.423076923076923,23,520
llama-3.1-70b--h200--fp8--tensorrt-llm,llama-3.1-70b,h200,fp8,tensorrt-llm,code,0.0,0,164
llama-3.1-70b--h200--fp8--tensorrt-llm,llama-3.1-70b,h200,fp8,tensorrt-llm,long_context,2.0,2,100
llama-3.1-70b--h200--fp8--tensorrt-llm,llama-3.1-70b,h200,fp8,tensorrt-llm,math,4.4,22,500
llama-3.1-70b--h200--fp8--tensorrt-llm,llama-3.1-70b,h200,fp8,tensorrt-llm,safety,2.8846153846153846,15,520
llama-3.1-70b--h200--fp8--vllm,llama-3.1-70b,h200,fp8,vllm,code,0.0,0,164
llama-3.1-70b--h200--fp8--vllm,llama-3.1-70b,h200,fp8,vllm,long_context,3.0,3,100
llama-3.1-70b--h200--fp8--vllm,llama-3.1-70b,h200,fp8,vllm,math,8.4,42,500
