feature,importance
workload_safety,0.33373055
framework_tensorrt-llm,0.25130084
model_qwen-7b,0.15420355
workload_math,0.11490401
model_llama-3.1-70b,0.03520992
precision_fp16,0.025474487
framework_vllm,0.025025362
model_mistral-7b,0.015728457
model_llama-3.1-8b-instruct-fp4,0.0098068
precision_fp8,0.009033908
framework_sglang,0.0074778553
model_mixtral-8x7b,0.0051567242
model_llama-3.1-8b,0.0027289575
workload_code,0.0026363404
hardware_h200,0.0024811015
hardware_h100,0.0018733041
hardware_b200,0.0010721021
hardware_mi300x,0.0009342775
workload_long_context,0.0008262947
precision_fp4,0.0003951957
